Format
filename:hash | version1, version1.2, etc...
libssl.so.1.0.0:1a429b485f37ac397b19df83b4acc6fd | 6.5 , 6.5a4 , 6.5a5 , 6.5a6 , 7.0a1
tor:ffbe9a2f4e69713aed55464303bfa69a | 6.5
libcrypto.so.1.0.0:8d3793bfc27e41c3d4d5be2fb08e9d30 | 6.5a1 , 6.5a2
tor:8ccc1bd73330913142a9bc0b6e5a2cc8 | 6.5a1
tor:f6eb0c02184ac8aafbdf7eebafb09782 | 6.5a2
libcrypto.so.1.0.0:a22de5b1b0650d2b01d05849242090dd | 6.5a3
libssl.so.1.0.0:c6cc24fa0cded192751e0ec0e4eaa9d9 | 6.5a3
tor:5448e3bea8e95067adafeed017e31a0b | 6.5a3
tor:8a55a3321a0b0837255aa8069e7c583c | 6.5a4 , 6.5a5
tor:3907cfd00aef56911ca343a046a60aa9 | 6.5a6
tor:1b5d7dd010dafe58d2b70f8eeca39e3f | 7.0.1
tor:cbbd62aca7eb9c8ce8f8466d913f948e | 7.0.10
tor:35d0c2c54463e3e3c748c649ed8c0612 | 7.0.11
tor:5546752ab41a024505cfd55d81ed37c7 | 7.0.2 , 7.0.3
tor:07ca07e062a2b297f407968929139268 | 7.0.4 , 7.0.5
tor:f858c25d81dd9b811484b8ce7cef9a28 | 7.0.6 , 7.0.7 , 7.0.8 , 7.0.9
tor:e45c8eaea029b0082adf282f51dfccc8 | 7.0
tor:1d13844f997a374c4a618f5d634efb55 | 7.0a1
tor:48e2e53a120fe947c208067ce0cef796 | 7.0a2
tor:641820be8f95ae3b801f2cf2cffffea1 | 7.0a3
libcrypto.so.1.0.0:f5854b1254f37bbdeed0ff5e8fb1e5ae | 7.0a4
libevent-2.0.so.5:35736a53bd204c1dc143c9049b2b22e4 | 7.0a4
libgmp.so.10:4743709ad7da9c006410832b257ab902 | 7.0a4
libssl.so.1.0.0:8ecd53cb492c3374f1376aa1a33ffa3c | 7.0a4
tor:3b6bacb854ac4ec348466d4ce62aca8e | 7.0a4
